MapFile	StringId	English	Korean
6D02.str	5	You've Rescued a child!  How patriarchal of you	아이를 구출했습니다! 참으로 가부장적이군요.
6D02.str	6	This Rock is covered in bat guano	이 바위는 박쥐 구아노로 뒤덮여 있습니다.
6D02.str	7	You harvest the guano and put it in your pouch	구아노를 채취해 주머니에 넣습니다.
6D02.str	8	"""You pick up some guano, but have nowhere to put it."""	"""구아노를 조금 집었지만 담을 곳이 없습니다."""
6D02.str	10	You open the cage and remove the bones.	우리를 열고 뼈를 꺼냅니다.
6D04.STR	3	All must have amber.  Take life force!	모두 호박을 지녀야 한다. 생명력을 바쳐라!
6D04.STR	9	"""Ah, delicious amber!"""	"""아, 맛있는 호박이로군!"""
6D04.STR	17	Hall of the Fire Lord	불의 군주의 회관
6D05.STR	25	The bones feel weird (+5 Poison resistance permanent)	뼈에서 이상한 기운이 느껴집니다. (독 저항 +5 영구 증가)
6D05.STR	26	The bones feel weird (+5 Magic resistance permanent)	뼈에서 이상한 기운이 느껴집니다. (마법 저항 +5 영구 증가)
6D05.STR	31	The bones feel weird (+5 Might permanent)	뼈에서 이상한 기운이 느껴집니다. (힘 +5 영구 증가)
6D08.STR	7	Click!	딸깍!
6D08.STR	11	Ca-Click!	철컥!
6D08.STR	12	Snick!	찰칵!
6D08.STR	18	"""You cannot see me, hear me or touch me.  I lie behind the stars and alter what is real, I am what you really fear, Close your eyes and come I near. What am I?"""	"""나를 볼 수도, 들을 수도, 만질 수도 없다. 나는 별들 뒤에 숨어 현실을 뒤바꾸며, 네가 진정 두려워하는 것이다. 눈을 감으면 내가 다가온다. 나는 무엇인가?"""
6D08.STR	21	Answer?  	정답은?
6D08.STR	22	Incorrect	틀렸습니다.
6D08.STR	23	"""I go through an apple, or point out your way, I fit in a bow, then a target, to stay. What am I?"""	"""나는 사과를 꿰뚫고, 길을 가리키기도 한다. 활에 걸렸다가 과녁에 박힌다. 나는 무엇인가?"""
6D08.STR	26	"""What consumes rocks, levels mountains, destroys wood, pushes the clouds across the sky, and can make a young one old?"""	"""바위를 삼키고 산을 깎으며 나무를 썩게 하고 구름을 하늘로 밀어 보내며 젊은이를 늙게 하는 것은 무엇인가?"""
6D08.STR	28	"""Alive without breath, as cold as death, never thirsty ever drinking, all in mail never clinking, ever travelling, never walking, mouth ever moving, never talking.  What am I? """	"""숨 없이 살아 있고 죽음처럼 차갑다. 목마르지 않으나 늘 마시며, 비늘 갑옷을 입었으나 소리 나지 않는다. 늘 움직이지만 걷지 않고, 입을 움직이지만 말하지 않는다. 나는 무엇인가?"""
6D09.STR	7	"""You thumb through the books, but find nothing of interest."""	"""책을 훑어보지만 흥미로운 것은 찾지 못했습니다."""
6D09.STR	14	You are not smart enough!	지력이 부족합니다!
6D10.STR	7	Caught!	들켰습니다!
6D10.STR	8	Rats!	젠장!
6D10.STR	9	Are those footsteps?	저건 발소리인가?
6D11.str	4	This Door won't budge.	이 문은 꼼짝도 하지 않습니다.
6D12.STR	1	Skull Door	해골 문
6D12.STR	5	"""I am Sir John Silver.  I was most foully murdered by my Lieutenant when I discovered that he was involved with his sorcererous brother and a senior priest in the Temple of Baa in a conspiracy against King Roland.  There are no good men left in the order, and it sickens my soul to say so."""	"""나는 존 실버 경이다. 내 부관이 마법사인 형제와 바의 신전 고위 사제와 함께 롤랜드 왕을 상대로 음모를 꾸미고 있음을 알아낸 뒤, 그 부관에게 비참하게 살해당했다. 기사단에는 더 이상 선한 자가 남아 있지 않다. 이런 말을 해야 한다는 사실이 내 영혼을 병들게 하는구나."""
6D12.STR	6	"""I am Sir John Silver.  I was most foully murdered by my Lieutenant when I discovered that he was involved with his sorcererous brother and a senior priest in the Temple of Baa in a conspiracy against King Roland.  I am grateful for the rescue of my niece, Melody, from my treacherous Lieutenant by you.  I will open a secret door to a nearby treasure room for you as a reward for your heroism."""	"""나는 존 실버 경이다. 내 부관이 마법사인 형제와 바의 신전 고위 사제와 함께 롤랜드 왕을 상대로 음모를 꾸미고 있음을 알아낸 뒤, 그 부관에게 비참하게 살해당했다. 배신한 부관에게서 내 조카 멜로디를 구해 준 것에 감사한다. 그 영웅적인 행동에 대한 보답으로 가까운 보물방의 비밀문을 열어 주겠다."""
6D13.STR	2	Druid statue	드루이드 석상
6D13.STR	3	Strange tree	기묘한 나무
6D13.STR	5	Sacred Pool	신성한 연못
6D13.STR	6	Evil Altar	사악한 제단
6D13.STR	10	You search the tree and find something.	나무를 뒤져 무언가를 찾아냅니다.
6D13.STR	11	+5 Personality permanent to Druids and Clerics.	드루이드와 성직자의 인격이 영구적으로 5 증가합니다.
6D13.STR	12	The statue shifts as your touch it.	석상에 손을 대자 움직입니다.
6D13.STR	13	The rock shifts at your touch.	바위에 손을 대자 움직입니다.
6D13.STR	14	The pool shimmers as you touch it.	연못에 손을 대자 물결이 반짝입니다.
6D13.STR	15	The monolith feels strange to the touch.	모놀리스에 손을 대자 이상한 감촉이 느껴집니다.
6D13.STR	16	You find nothing.	아무것도 찾지 못했습니다.
6D13.STR	17	The tree shakes at your touch.	나무에 손을 대자 흔들립니다.
6D13.STR	18	The flowers smell nice.	꽃에서 좋은 향기가 납니다.
6D13.STR	20	Strange rock	기묘한 바위
6D14.STR	8	Fumes make you feel sick.	연기 때문에 속이 메스껍습니다.
6D14.STR	9	You find something among the bones.	뼈 사이에서 무언가를 찾아냅니다.
6D14.STR	10	The niche is empty.	벽감은 비어 있습니다.
6D14.STR	13	Tomb of Ethric the Mad	광인 에스릭의 무덤
6D15.STR	11	The gate will not budge.	문은 꼼짝도 하지 않습니다.
6D15.STR	12	You find something around the bed.	침대 주변에서 무언가를 찾아냅니다.
6D15.STR	13	Something rumbles off in the distance.	멀리서 무언가 우르릉거립니다.
6D15.STR	14	The bed(s) are empty.	침대는 비어 있습니다.
6D16.STR	5	You are pulled through the door!	문 너머로 끌려갑니다!
6D16.STR	7	The door is double locked.	문에는 자물쇠가 두 겹으로 걸려 있습니다.
6D16.STR	8	You were unable to pick the lock.	자물쇠를 따지 못했습니다.
6D16.STR	10	You have found two keys!	열쇠 두 개를 찾았습니다!
6D16.STR	11	You have found a key!	열쇠를 찾았습니다!
6D16.STR	13	The Eagle Statuette!	독수리 조각상입니다!
6D16.STR	15	This door won't open.	이 문은 열리지 않습니다.
6D17.STR	5	You find a Pearl.	진주를 찾았습니다.
6D17.STR	6	Wolf Altar	늑대 제단
6D17.STR	7	After 7 days.	7일 후.
6D17.STR	12	The Werewolves butchered us.  Will you avenge us - so our souls may rest in peace?	늑대인간들이 우리를 도륙했습니다. 우리 영혼이 편히 쉴 수 있도록 복수해 주시겠습니까?
6D17.STR	13	Reply?	대답은?
6D17.STR	16	Found Scroll	두루마리를 찾았습니다.
6D17.STR	18	Lair of the Wolf	늑대의 소굴
6D19.STR	5	Pushing this switch gives you a bad feeling.	이 스위치를 누르자 불길한 느낌이 듭니다.
6D19.STR	6	Uh oh....	이런...
6D19.STR	7	Here we go again�.	또 시작이군...
6D19.STR	8	The switch doesn뭪 seem to work..	스위치가 작동하지 않는 것 같습니다.
6D20.STR	4	Caves of the Dragon Riders	드래곤 라이더의 동굴
6T2.STR	4	Full sack	가득 찬 자루
6T2.STR	7	Empty barrel	빈 통
6T2.STR	8	The skulls seem to sap your might	해골들이 힘을 빨아들이는 것 같습니다.
6T2.STR	9	You have destroyed the evil crystal	사악한 수정을 파괴했습니다.
6T2.STR	10	You pull the torch and it shifts in your hand	횃불을 당기자 손안에서 움직입니다.
6T2.STR	15	Temple of the Fist	주먹의 신전
6T4.STR	7	Temple of the Sun	태양의 신전
6T5.STR	5	Altar of Life	생명의 제단
6T5.STR	6	Altar of Endurance	체력의 제단
6T5.STR	7	Altar of Accuracy	정확도의 제단
6T5.STR	8	Altar of Speed	속도의 제단
6T5.STR	9	Altar of Luck	행운의 제단
6T5.STR	10	Altar of the Moon	달의 제단
6T5.STR	13	You kneel at the altar for a moment of silent prayer.	제단 앞에 무릎을 꿇고 잠시 묵도합니다.
6T5.STR	14	"""Life above all, Accuracy before Might, Endurance before Speed, and finally, Luck."""	무엇보다 생명을, 힘보다 정확도를, 속도보다 체력을, 그리고 마지막으로 행운을.
6T5.STR	17	Temple of the Moon	달의 신전
6T6.STR	9	Trial by Fire	불의 시련
6T6.STR	10	Altar of Cold	냉기의 제단
6T6.STR	11	Trial by Cold	냉기의 시련
6T6.STR	12	Altar of Pain	고통의 제단
6T6.STR	13	Trial by Pain	고통의 시련
6T6.STR	17	+10 Electric resistance permanent.	전기 저항이 영구적으로 10 증가합니다.
6T6.STR	19	+10 Cold resistance permanent.	냉기 저항이 영구적으로 10 증가합니다.
6T6.STR	22	You're not worthy!	당신은 자격이 없습니다!
6T7.STR	6	"""Expert Perception is the key and the doors of Baa will let you be.                                                                                                                                                                                                                  The Spiral then each head, talk to Baa or you'll be dead."""	전문가 수준의 지각력이 열쇠이며, 그러면 바의 문이 너를 받아들이리라. 나선을 따른 뒤 각 머리에게 말하라. 그렇지 않으면 죽으리라.
6T7.STR	8	Baa One here.	바 하나, 여기 있다.
6T7.STR	10	Baa Two ready.	바 둘, 준비됐다.
6T7.STR	12	Baa Three standing by.	바 셋, 대기 중이다.
6T7.STR	14	Baa Four is a go.	바 넷, 실행한다.
6T7.STR	15	Baa!  Baa!	바! 바!
6T7.STR	16	Almighty Head of Baa.	전능한 바의 머리.
6T7.STR	17	You're not worthy of Baa!	당신은 바를 섬길 자격이 없습니다!
6T7.STR	18	"""Follow Baa!  +50,000 Experience."""	바를 따르라! 경험치 +50,000.
6T7.STR	19	Go forth and spread the word of Baa!	나아가 바의 말씀을 전파하라!
6T7.STR	20	Book Case	책장
6T7.STR	22	Chest Is locked.	상자는 잠겨 있습니다.
6T7.STR	23	Lava pool	용암 웅덩이
6T8.STR	5	You easily defeat the lock.	손쉽게 자물쇠를 땄습니다.
6T8.STR	6	A teleporter!	순간이동 장치입니다!
6T8.STR	7	You are unable to pick the lock.	자물쇠를 따지 못했습니다.
6T8.STR	10	Temple of the Snake	뱀의 신전
7d07.STR	2	Leave Thunderfist Mountain	썬더피스트 산에서 나갑니다.
7d08.STR	2	Exit the Tularean Caves	툴라리안 동굴에서 나갑니다.
7d08.STR	13	Cave In !	낙석!
7d09.STR	2	Leave the Titan Stronghold	타이탄 요새에서 나갑니다.
7d10.STR	2	Leave the Breeding Zone	번식 구역에서 나갑니다.
7d11.STR	2	Leave the Walls of Mist	안개의 장벽에서 나갑니다.
7d12.STR	2	Exit Clanker's Lab	클랭커의 연구소에서 나갑니다.
7d14.STR	2	Leave the School of Sorcery	마법 학교에서 나갑니다.
7d15.STR	2	Leave Watchtower 6	제6 감시탑에서 나갑니다.
7d16.STR	2	Leave the Vampire Family House	뱀파이어 일가의 저택에서 나갑니다.
7d17.STR	2	Leave the Tidewater Caverns	타이드워터 동굴에서 나갑니다.
7d17.STR	13	Cave In !	낙석!
7d18.STR	2	Leave Lord Markham's Manor	마컴 경의 저택에서 나갑니다.
7d18.STR	20	Enter Lord Markham's Chamber	마컴 경의 방에 들어갑니다.
7d18.STR	21	This Door has Been Locked	이 문은 잠겨 있습니다.
7d19.STR	2	Leave the Grand Temple of the Moon	달의 대사원에서 나갑니다.
7d19.STR	15	You have Purified the Altar	제단을 정화했습니다.
7d20.STR	2	Leave the Mercenary Guild	용병 길드에서 나갑니다.
7d20.STR	12	You see nothing of interest	흥미로운 것은 보이지 않습니다.
7d21.STR	2	Leave the White Cliff Caves	화이트 클리프 동굴에서 나갑니다.
7d21.STR	13	Cave In !	낙석!
7d22.STR	2	Leave the Hall Under the Hill	언덕 아래의 회관에서 나갑니다.
7d22.STR	13	Refreshing !	상쾌합니다!
7d22.STR	61	You received an apple	사과를 얻었습니다.
7d23.STR	2	Leave the Lincoln	링컨에서 나갑니다.
7d23.STR	11	Power Restored	동력이 복구되었습니다.
7d23.STR	20	You must all be wearing your wetsuits to exit the ship	함선에서 나가려면 모두 잠수복을 착용해야 합니다.
7d24.STR	2	Leave Stone City	스톤 시티에서 나갑니다.
7d24.STR	11	Nothing Here	아무것도 없습니다.
7d24.STR	13	Cave In !	낙석!
7d25.STR	2	Leave Celeste	셀레스트에서 나갑니다.
7d25.STR	26	Temple of the Light	빛의 신전
7d25.STR	30	Enter Castle Lambent	램번트 성에 들어갑니다.
7d25.STR	31	Enter The Temple of the Light	빛의 신전에 들어갑니다.
7d25.STR	32	Enter the Walls of Mist	안개의 장벽에 들어갑니다.
7d25.STR	70	+25 to all Stats(Temporary)	모든 능력치가 일시적으로 25 증가합니다.
7d26.STR	2	Leave the Pit	구덩이에서 나갑니다.
7d26.STR	26	Temple of the Dark	어둠의 신전
7d26.STR	27	The Breeding Zone	번식 구역
7d26.STR	30	Enter Castle Gloaming	글로밍 성에 들어갑니다.
7d26.STR	31	Enter The Temple of the Dark	어둠의 신전에 들어갑니다.
7d26.STR	32	Enter the Breeding Zone	번식 구역에 들어갑니다.
7d27.STR	2	Leave the Hive	하이브에서 나갑니다.
7d29.STR	21	The door is blocked	문이 막혀 있습니다.
7d30.STR	2	Leave Castle Lambent	램번트 성에서 나갑니다.
7d32.STR	2	Leave Castle Navan	나반 성에서 나갑니다.
7d34.STR	2	Leave the Red Dwarf Mines	레드 드워프 광산에서 나갑니다.
7d34.STR	13	Cave In !	낙석!
7d36.STR	13	Cave In !	낙석!
7d37.STR	2	Leave the Haunted Mansion	유령 저택에서 나갑니다.
7d37.STR	13	Cave In !	낙석!
7out02.STR	31	Enter the White Cliff Caves	화이트 클리프 동굴에 들어갑니다.
7out02.STR	43	North to the Tularean Forest	북쪽: 툴라리안 숲
7out02.STR	44	West to Erathia	서쪽: 에라시아
7out02.STR	45	South to Barrow Downs	남쪽: 고분 지대
7out02.STR	61	You received an apple	사과를 얻었습니다.
7out02.STR	72	Maybe that wasn't such a good idea.	좋은 생각이 아니었던 것 같습니다.
7out02.STR	73	You probably shouldn't do that.	그러지 않는 편이 좋겠습니다.
7out03.STR	30	Enter The Erathian Sewer	에라시아 하수도에 들어갑니다.
7out03.STR	33	Enter	들어가기
7out03.STR	42	East to Harmondale	동쪽: 하몬데일
7out03.STR	43	North to Deyja Moors	북쪽: 데이자 황무지
7out03.STR	44	West to Tatalia	서쪽: 타탈리아
7out03.STR	45	South to the Bracada Desert	남쪽: 브라카다 사막
7out03.STR	61	You received an apple	사과를 얻었습니다.
7out03.STR	73	Disease Cured	질병이 치료되었습니다.
7out04.STR	30	Enter Castle Navan	나반 성에 들어갑니다.
7out04.STR	31	Enter the Tularean Caves	툴라리안 동굴에 들어갑니다.
7out04.STR	32	Enter Clanker's Laboratory	클랭커의 연구소에 들어갑니다.
7out04.STR	61	You received an apple	사과를 얻었습니다.
7out04.STR	76	+10 Water, Fire, and Air Resistance(Permanent)	물, 불, 공기 저항이 영구적으로 10 증가합니다.
7out05.STR	20	Ambush	매복!
7out05.STR	25	Hall of the Pit	구덩이의 회관
7out05.STR	30	Enter the Hall of the Pit	구덩이의 회관에 들어갑니다.
7out05.STR	31	Enter Watchtower 6	제6 감시탑에 들어갑니다.
7out05.STR	73	You Feel Great!!	기분이 아주 좋습니다!
7out05.STR	75	Haven't you had enough ?	이제 충분하지 않습니까?
7out05.STR	76	Do you think that's such a good idea ?	그게 정말 좋은 생각일까요?
