Table (of Game struct)	Id	Field	New text
GlobalTxt	0		방어
	1		적중률
	2		블랙 나이트
	3		스파이
	4		공포
	5		나이
	6		대기 저항
	7		연금술사
	8		오벨리스크
	9		축하합니다!
	10		마을 포털
	11		방어구
	12		방어력
	13		암살자
	14		수면
	15		단언 실패: %d, %s
	16		자동 저장
	17		경험치
	18		근접
	19		사용 가능
	20		습득 가능한 스킬
	21		수도사
	22		업적
	23		업적 목록
	24		화염 저항
	25		중립
	26		수련생
	27		닌자
	28		악당
	29		신체 저항
	30		보너스
	31		"음, 닭고기 맛이 나는데!"
	32		손상됨
	33		지도당 최대 100개의 메모만 배치할 수 있습니다!
	34		취소
	35		%s(으)로 마을 귀환
	36		%s은(는) 그런 방식으로 사용할 수 없습니다
	37		총 시간:
	38		주문 시전
	39		대상 선택
	40		현상금 사냥꾼
	41		직업
	42		점원
	43		냉기
	44		빛의 사제
	45		상태
	46		어둠의 사제
	47		상태
	48		워록
	49		리치
	50		회피
	51		파 티 생 성
	52		저주
	53		피해량
	54		어둠 저항
	55		새벽
	56		하루
	57		일
	58		사망
	59		내부 오류
	60		입금
	61		Esc 키를 누르십시오
	62		Might and Magic VIII를 창 모드로 실행하려면 바탕 화면 색상을 16비트(32k 또는 65k) 모드로 설정해야 합니다.
	63		Might and Magic VIII가 파일을 불러오는 데 문제가 있습니다. 문제를 해결하려면 재설치하십시오. 참고: 재설치해도 저장된 게임은 삭제되지 않습니다.
	64		상세 정보 전환
	65		질병
	66		피해
	67		%s은(는) 해당 기술이 없습니다
	68		기부
	69		취함
	70		대지 저항
	71		전기
	72		Empty
	73		입력
	74		대화 종료
	75		지구력
	76		소멸
	77		맨손
	78		달력
	79		나가기
	80		건물 나가기
	81		휴식 종료
	82		정말 종료하시겠습니까? 다시 클릭하면 종료됩니다
	83		경험치
	84		명성
	85		물약 기록
	86		%d일치 보급품을 %d골드에 채우기
	87		화염 저항
	88		몬스터 식별
	89		무기 전문가
	90		훔치기
	91		금요일
	92		가득 참
	93		게임 옵션
	94		점수: %lu
	95		연금술
	96		그랜드
	97		금화
	98		양호
	99		인간
	100		경비병
	101		드워프
	102		절반
	103		엘프
	104		치유
	105		치유사
	106		고블린
	107		생명력
	108		생명력
	109		시간
	110		시간
	111		그랜드
	112		얼마나?
	113		감정
	114		도적
	115		교관
	116		지능
	117		광기
	118		저희가 Might and Magic VIII를 즐겁게 만들었듯이 여러분도 즐겁게 플레이하셨기를 바랍니다. 이 화면은 MM8 디렉토리에 MM8_WIN.PCX로 저장되었습니다. 업적을 증명하는 용도로 인쇄하실 수 있습니다.
	119		궁술 마스터
	120		인벤토리
	121		영구
	122		합류
	123		기타 기록
	124		저격수
	125		기술 포인트 +2!
	126		%s을(를) 떠나시겠습니까?
	127		텍스트 없음!
	128		%d일 동안 이동하여 %s에 도착합니다.
	129		%s - 레벨 %u %s
	130		플레이어
	131		레벨
	132		년
	133		빛 저항
	134		일반 구매
	135		로딩 중
	136		운
	137		샘물 기록
	138		마법
	139		지도
	140		가방이 가득 찼습니다!
	141		예언가 기록
	142		정신 저항
	143		기타
	144		힘
	145		월요일
	146		월
	147		%u까지 훈련할 수 있습니다.
	148		개월
	149		이름
	150		새로 만들기
	151		축하합니다, 모험가여.
	152		특수 구매
	153		없음
	154		자동 기록
	155		금화가 부족합니다
	156		이 지역에 머물기
	157		"(c) 2000 The 3DO Company. All Rights Reserved. 3DO, New World Computing 및 관련 상표의 권리는 각 소유자에게 있습니다."
	158		부틀렉 베이 동부
	159		인벤토리 보기
	160		스킬 배우기
	161		훔치기
	162		마비
	163		개성
	164		%s이(가) %s에게 %lu의 피해를 입혔습니다
	165		잠시 기다려 주세요
	166		중독
	167		- 마이트 앤 매직 VIII 개발팀.
	168		포인트
	169		3/4
	170		퀵스펠
	171		1/4
	172		퀵스펠
	173		간략 정보
	174		현재 퀘스트
	175		%s(이)가 %lu의 피해를 입혀 %s(을)를 처치했습니다
	176		마이트 앤 매직 VIII에서 내부 오류가 감지되어 강제 종료됩니다. 종료하기 전에 게임을 자동 저장하시겠습니까?
	177		표준
	178		%d 골드로 방 대여
	179		수리
	180		평판
	181		훔치기 %24
	182		휴식
	183		8시간 휴식 및 회복
	184		재설치 필요
	185		아이템 훔치기
	186		에라시아 시간
	187		도난
	188		토요일
	189		%s(이)가 %s에게 %lu의 피해를 입혔습니다
	190		저장 중
	191		이 상점에서 거래 금지당했습니다!
	192		위로 스크롤
	193		아래로 스크롤
	194		물 저항
	195		구매할 아이템을 선택하십시오
	196		구매할 특수 아이템을 선택하십시오
	197		감정할 아이템을 선택하십시오
